team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Pune Warriors,Kochi Tuskers Kerala,4,Kochi Tuskers Kerala,bat,Pune Warriors,Dr DY Patil Sports Academy,wickets,6.0,189.0
Kings XI Punjab,Chennai Super Kings,4,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,4.0,149.0
Deccan Chargers,Royal Challengers Bangalore,4,Royal Challengers Bangalore,field,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",runs,33.0,176.0
Mumbai Indians,Kochi Tuskers Kerala,4,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Wankhede Stadium,wickets,9.0,160.0
Rajasthan Royals,Kolkata Knight Riders,4,Kolkata Knight Riders,field,Kolkata Knight Riders,Sawai Mansingh Stadium,wickets,8.0,183.0
Chennai Super Kings,Royal Challengers Bangalore,4,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,21.0,184.0
Deccan Chargers,Kings XI Punjab,4,Kings XI Punjab,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",wickets,8.0,166.0
Pune Warriors,Delhi Daredevils,4,Delhi Daredevils,field,Delhi Daredevils,Dr DY Patil Sports Academy,wickets,3.0,188.0
Kolkata Knight Riders,Rajasthan Royals,4,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,8.0,82.0
Kochi Tuskers Kerala,Chennai Super Kings,4,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,Nehru Stadium,wickets,7.0,135.0
Delhi Daredevils,Deccan Chargers,4,Deccan Chargers,bat,Deccan Chargers,Feroz Shah Kotla,runs,16.0,169.0
Kolkata Knight Riders,Kochi Tuskers Kerala,4,Kolkata Knight Riders,field,Kochi Tuskers Kerala,Eden Gardens,wickets,7.0,119.0
Mumbai Indians,Pune Warriors,4,Pune Warriors,bat,Mumbai Indians,Wankhede Stadium,runs,6.0,133.0
